customer_id,name,city,signup_date
1,Cust_1,Pune,2023-02-10
2,Cust_2,Jaipur,2023-10-18
3,Cust_3,Pune,2023-09-09
4,Cust_4,Pune,2023-06-08
5,Cust_5,Pune,2023-06-29
6,Cust_6,Mumbai,2022-09-14
7,Cust_7,Jaipur,2023-02-06
8,Cust_8,Pune,2022-05-11
9,Cust_9,Mumbai,2022-12-06
10,Cust_10,Mumbai,2022-03-30
11,Cust_11,Jaipur,2023-06-10
12,Cust_12,Bangalore,2023-04-20
13,Cust_13,Jaipur,2023-04-14
14,Cust_14,Delhi,2022-12-27
15,Cust_15,Mumbai,2022-09-29
16,Cust_16,Mumbai,2022-09-25
17,Cust_17,Bangalore,2023-05-23
18,Cust_18,Delhi,2023-02-10
19,Cust_19,Mumbai,2023-03-23
20,Cust_20,Delhi,2022-03-29
21,Cust_21,Delhi,2023-01-29
22,Cust_22,Mumbai,2023-09-13
23,Cust_23,Mumbai,2022-10-09
24,Cust_24,Bangalore,2022-04-14
25,Cust_25,Mumbai,2023-03-09
26,Cust_26,Delhi,2023-04-14
27,Cust_27,Bangalore,2023-01-15
28,Cust_28,Bangalore,2022-11-23
29,Cust_29,Mumbai,2022-11-27
30,Cust_30,Bangalore,2022-06-19
31,Cust_31,Pune,2022-07-25
32,Cust_32,Mumbai,2022-11-02
33,Cust_33,Bangalore,2022-06-19
34,Cust_34,Pune,2022-11-28
35,Cust_35,Mumbai,2022-06-05
36,Cust_36,Pune,2023-06-21
37,Cust_37,Jaipur,2023-03-12
38,Cust_38,Delhi,2023-05-05
39,Cust_39,Pune,2022-12-02
40,Cust_40,Bangalore,2023-06-11
41,Cust_41,Jaipur,2022-12-05
42,Cust_42,Pune,2022-07-17
43,Cust_43,Delhi,2023-06-02
44,Cust_44,Pune,2023-07-03
45,Cust_45,Delhi,2023-06-21
46,Cust_46,Delhi,2023-07-14
47,Cust_47,Jaipur,2022-12-02
48,Cust_48,Pune,2022-04-28
49,Cust_49,Mumbai,2023-04-03
50,Cust_50,Pune,2023-12-02
51,Cust_51,Jaipur,2023-06-08
52,Cust_52,Bangalore,2023-03-19
53,Cust_53,Pune,2022-07-10
54,Cust_54,Bangalore,2023-02-03
55,Cust_55,Bangalore,2023-05-01
56,Cust_56,Mumbai,2023-08-20
57,Cust_57,Delhi,2022-12-15
58,Cust_58,Mumbai,2022-10-04
59,Cust_59,Mumbai,2022-12-06
60,Cust_60,Delhi,2023-01-11
61,Cust_61,Mumbai,2022-04-21
62,Cust_62,Pune,2022-04-15
63,Cust_63,Mumbai,2022-06-28
64,Cust_64,Bangalore,2023-10-29
65,Cust_65,Bangalore,2023-07-27
66,Cust_66,Pune,2023-05-20
67,Cust_67,Mumbai,2022-07-06
68,Cust_68,Pune,2022-09-24
69,Cust_69,Delhi,2023-06-23
70,Cust_70,Delhi,2023-08-30
71,Cust_71,Bangalore,2022-11-25
72,Cust_72,Jaipur,2022-05-18
73,Cust_73,Pune,2022-10-23
74,Cust_74,Delhi,2022-01-05
75,Cust_75,Bangalore,2023-02-25
76,Cust_76,Jaipur,2023-03-04
77,Cust_77,Pune,2022-10-19
78,Cust_78,Delhi,2022-08-23
79,Cust_79,Mumbai,2023-03-12
80,Cust_80,Bangalore,2023-11-11
81,Cust_81,Mumbai,2023-08-09
82,Cust_82,Delhi,2022-07-06
83,Cust_83,Pune,2023-10-17
84,Cust_84,Jaipur,2022-07-10
85,Cust_85,Pune,2023-04-02
86,Cust_86,Pune,2023-02-10
87,Cust_87,Pune,2023-02-27
88,Cust_88,Delhi,2023-09-22
89,Cust_89,Bangalore,2022-10-15
90,Cust_90,Mumbai,2022-08-24
91,Cust_91,Pune,2022-08-22
92,Cust_92,Mumbai,2022-02-14
93,Cust_93,Jaipur,2022-04-16
94,Cust_94,Delhi,2022-06-13
95,Cust_95,Bangalore,2023-05-02
96,Cust_96,Mumbai,2023-06-10
97,Cust_97,Jaipur,2022-04-11
98,Cust_98,Mumbai,2023-10-11
99,Cust_99,Jaipur,2022-05-17
100,Cust_100,Delhi,2023-06-10
